"","Modules","Mean_MWprop","Median_MWprop","Mean_Si","Meadian_Si","n"
"1",1,0.234213884606534,0.216604154115325,1.26680618231863,1.18951471420843,25
"2",2,0.283139263020622,0.312040076909716,0.573304450160336,0.395888069501804,40
"3",3,0.878796467885035,0.908200821031071,1.05345599978384,0.997631243678024,32
"4",4,0.785538138123203,0.802689063122732,0.939806422755469,0.897522650008966,47
"5",5,0.403392171835435,0.39711582835444,0.142301739897484,0.0987570983775487,3
"6",6,0.538826867887038,0.538826867887038,0.493282734231607,0.493282734231607,2
"7",7,0.113884695357006,0.0959219548872082,0.800499946847909,0.750791789721809,13
"8",8,0.781466144376506,0.803620482478241,1.08133933389088,1.11437677942382,14
"9",9,0.402710837370373,0.402710837370373,0.287999518888004,0.287999518888004,2
"10",10,0.330340318200774,0.366663030714281,0.348719015179173,0.204464715976631,31
"11",11,0.741269144936468,0.741269144936468,0.915237182727075,0.915237182727075,2
"12",12,0.0907016231197331,0.0907016231197331,0.586572646591578,0.586572646591578,2
"13",13,0.748677288745391,0.718775900170597,0.814970349993697,0.686145019227725,23
"14",14,0.489214004736183,0.476305237113167,2.30353493863939,2.39658837168641,15
"15",15,0.180561277657781,0.195469178308166,1.63444726190213,1.27412613422041,5
"16",16,0.980076668806922,0.980076668806922,1.28085908309957,1.28085908309957,2
"17",17,0.279331616011536,0.279331616011536,0.631394882648878,0.631394882648878,2
"18",18,0.39570261782962,0.39570261782962,0.778402329364772,0.778402329364772,2
"19",19,0.220443267703565,0.220443267703565,0.289362830861226,0.289362830861226,2
"20",20,0.229169585291154,0.116296421036026,1.93180057356121,1.91950295601073,34
"21",21,0.725173402750466,0.764664091755736,0.707122072705252,0.694713704231851,8
"22",22,0.812185381221867,0.897412014113359,1.70692067940602,1.80423023670775,22
"23",23,0.303358994090135,0.307092611823274,1.11564185446871,0.543118744265162,4
"24",24,0.534155452082782,0.534155452082782,0.63269059179265,0.63269059179265,2
"25",25,0.72136312453792,0.709403771448472,0.687286269143192,0.5034087286293,6
"26",26,0.107948225040872,0.0205291359510045,1.2324090304922,1.23673178989064,6
"27",27,0.287361320865326,0.289325700917763,0.508365776747723,0.27514167222937,17
"28",28,0.584590666131316,0.606437497267669,0.386822761746972,0.32537011743669,6
"29",29,0.74498452188489,0.733772317977226,1.13139627644103,0.991797872336278,18
"30",30,0.0719814649713189,0.0497617877132628,1.64647525639434,1.84466358141068,8
"31",31,0.633374149802246,0.639343337395565,0.997514758006221,1.04100639281774,4
"32",32,0.331003204317854,0.353976750722277,0.327430499499328,0.301420103529093,3
"33",33,0.282342915726461,0.26264431890391,0.351635117922694,0.374624471148167,4
"34",34,0.391127037827876,0.403161270571126,0.802933181611265,0.730369351076129,11
"35",35,0.799805339369656,0.816349989047489,0.953134482057423,0.962039649653345,37
"36",36,0.807858074951709,0.849555867843535,1.1424195232112,1.22696989422293,10
"37",37,0.845965380753888,0.845965380753888,1.12247057967084,1.12247057967084,2
"38",38,0.329627294175909,0.329627294175909,0.590817793176792,0.590817793176792,2
"39",39,0.350862699656448,0.383007579880718,0.316888621373997,0.19466903548704,30
"40",40,0.423863303376224,0.445814639354075,1.02433487604042,0.796650422866606,3
"41",41,0.160991348153555,0.150082751258502,0.864796234662625,0.670814755996629,8
"42",42,0.507078745801761,0.513298893663089,0.254626527238151,0.235960201261447,3
"43",43,0.53131831559224,0.520127355693227,0.501168344253076,0.493488926395417,3
"44",44,0.364797942880489,0.364797942880489,0.255356766573338,0.255356766573338,2
"45",45,0.463561322575277,0.460298128563272,1.1033986241349,1.02598429124999,4
"46",46,0.762587150648235,0.805397368140351,0.80793859322654,0.806228666867896,4
"47",47,0.305463715495646,0.268856946145933,1.01807466818943,0.707846832281465,3
"48",48,0.719344389604972,0.702865849271325,0.757609195531287,0.766933724456388,4
"49",49,0.0953097112665632,0.0953097112665632,4.35084127269553,4.35084127269553,2
"50",50,0.497504559328575,0.497504559328575,0.175516453178306,0.175516453178306,2
"51",51,0.375891416233378,0.381806324190778,0.256215344278796,0.283555942098172,3
"52",52,0.749484840174464,0.739735829514099,0.671532846310065,0.66055608095453,4
"53",53,0.267837868018961,0.239463493037559,1.17140528278571,1.29679119864981,5
"54",54,0.853537357384556,0.898111692433603,0.96936256776693,0.959909245142384,6
"55",55,0.57956685513993,0.57956685513993,0.391800580897387,0.391800580897387,1
"56",56,0.371137261715997,0.371137261715997,0.322645135306668,0.322645135306668,2
"57",57,0.544655388183823,0.544655388183823,0.341246322660952,0.341246322660952,2
"58",58,0.376987977897176,0.382150041346334,0.12938207997933,0.124567178683136,9
"59",59,0.625273763250804,0.625273763250804,0.654475124308202,0.654475124308202,1
"60",60,0.39795245078387,0.43001096949181,0.547609400175473,0.327871153062241,3
"61",61,0.80001144196761,0.80001144196761,0.743782618514904,0.743782618514904,2
"62",62,0.557775096826471,0.557775096826471,0.211120590500442,0.211120590500442,1
"63",63,0.908248717969906,0.908248717969906,1.37494393784464,1.37494393784464,1
"64",64,0.317480281545637,0.317480281545637,0.26252581713624,0.26252581713624,1
"65",65,0.506336765857379,0.529824952404065,0.642390026445244,0.613083720577252,4
"66",66,0.343450927184692,0.343450927184692,0.378241347731735,0.378241347731735,1
"67",67,0.0700573534905616,0.0700573534905616,3.24626815316037,3.24626815316037,1
"68",68,0.916329846667957,0.916329846667957,1.15037425225013,1.15037425225013,1
"69",69,0.197684469651268,0.187366579689385,0.897262096880189,0.855612342767653,3
"70",70,0.200106594392186,0.185637268195989,0.482216898955627,0.382086412873103,3
"71",71,0.780902942262969,0.780902942262969,0.472153259200718,0.472153259200718,2
"72",72,0.622175111681991,0.622175111681991,0.556038537126057,0.556038537126057,1
"73",73,0.0204719101817086,0.0204719101817086,1.19151049782578,1.19151049782578,1
"74",74,0.129658171513805,0.135936936630611,1.06244694222713,0.790672978030233,3
"75",75,0.363367436275567,0.363367436275567,0.78833557006121,0.78833557006121,1
"76",77,0.612069076039106,0.612069076039106,0.641512694008778,0.641512694008778,1
"77",78,0.460606251942764,0.512088385001553,0.832573575957445,0.850437557809299,6
"78",79,0.557801052770414,0.557801052770414,0.319187550505481,0.319187550505481,1
"79",NA,0.475063107603403,0.471377529328142,0.878033010612994,0.612047798536058,836
